set_no,tag_spp,tag_no,salt,shade
27,Sp,17,3,D3
27,Sa,16,3,D3
27,Spu,23,3,D3
27,Pv x Ds,24,3,D3
27,Pv x Sp,45,3,D3
27,Pv x Sa,55,3,D3
27,Pv x Spu,20,3,D3
28,Pv,57,0,C1
28,Ds,20,0,C1
28,Sp,24,0,C1
28,Sa,22,0,C1
28,Spu,32,0,C1
28,Pv x Ds,25,0,C1
28,Pv x Sp,54,0,C1
28,Pv x Sa,60,0,C1
28,Pv x Spu,26,0,C1
29,Pv,52,3,C1
29,Ds,23,3,C1
29,Sp,23,3,C1
29,Sa,25,3,C1
29,Spu,31,3,C1
29,Pv x Ds,29,3,C1
29,Pv x Sp,49,3,C1
29,Pv x Sa,13,3,C1
29,Pv x Spu,25,3,C1
30,Pv,46,6,C1
30,Ds,25,6,C1
30,Sp,67,6,C1
30,Sa,28,6,C1
30,Spu,30,6,C1
30,Pv x Ds,32,6,C1
30,Pv x Sp,44,6,C1
30,Pv x Sa,54,6,C1
30,Pv x Spu,34,6,C1
31,Pv,44,0,D1
31,Ds,38,0,D1
31,Sp,62,0,D1
31,Sa,18,0,D1
31,Spu,34,0,D1
31,Pv x Ds,30,0,D1
31,Pv x Sp,48,0,D1
31,Pv x Sa,58,0,D1
31,Pv x Spu,31,0,D1
32,Pv,47,3,D1
32,Ds,42,3,D1
32,Sp,66,3,D1
32,Sa,17,3,D1
32,Spu,29,3,D1
32,Pv x Ds,36,3,D1
32,Pv x Sp,43,3,D1
32,Pv x Sa,53,3,D1
32,Pv x Spu,32,3,D1
33,Pv,45,6,D1
33,Ds,26,6,D1
33,Sp,71,6,D1
33,Sa,31,6,D1
33,Spu,33,6,D1
33,Pv x Ds,33,6,D1
33,Pv x Sp,33,6,D1
33,Pv x Sa,59,6,D1
33,Pv x Spu,33,6,D1
34,Pv,41,3,S3
34,Ds,27,3,S3
34,Sp,32,3,S3
34,Sa,47,3,S3
34,Spu,28,3,S3
34,Pv x Ds,31,3,S3
34,Pv x Sp,33,3,S3
34,Pv x Sa,3,3,S3
34,Pv x Spu,44,3,S3
35,Pv,39,0,S3
35,Ds,30,0,S3
35,Sp,70,0,S3
35,Sa,19,0,S3
35,Spu,42,0,S3
35,Pv x Ds,41,0,S3
35,Pv x Sp,34,0,S3
35,Pv x Sa,7,0,S3
35,Pv x Spu,38,0,S3
36,Pv,37,6,S3
36,Ds,69,6,S3
36,Sp,69,6,S3
36,Sa,24,6,S3
36,Spu,43,6,S3
36,Pv x Ds,39,6,S3
36,Pv x Sp,40,6,S3
36,Pv x Sa,1,6,S3
36,Pv x Spu,43,6,S3
37,Pv,40,0,C3
37,Ds,40,0,C3
37,Sp,61,0,C3
37,Sa,30,0,C3
37,Spu,35,0,C3
37,Pv x Ds,37,0,C3
37,Pv x Sp,39,0,C3
37,Pv x Sa,2,0,C3
37,Pv x Spu,39,0,C3
38,Pv,38,3,C3
38,Ds,33,3,C3
38,Sp,52,3,C3
38,Sa,51,3,C3
38,Spu,40,3,C3
38,Pv x Ds,34,3,C3
38,Pv x Sp,29,3,C3
38,Pv x Sa,11,3,C3
38,Pv x Spu,30,3,C3
39,Pa,6,6,S4
39,Pv,26,6,S4
39,Ds,41,6,S4
39,Sp,58,6,S4
39,Sa,29,6,S4
39,Spu,37,6,S4
39,Pv x Ds,55,6,S4
39,Pv x Sp,9,6,S4
39,Pv x Sa,28,6,S4
39,Pv x Spu,48,6,S4
39,Pa x Ds,11,6,S4
39,Pa x Sp,26,6,S4
39,Pa x Sa,4,6,S4
39,Pa x Spu,21,6,S4
40,Pa,22,3,S4
40,Pv,32,3,S4
40,Ds,63,3,S4
40,Sp,42,3,S4
40,Sa,57,3,S4
40,Spu,45,3,S4
40,Pv x Ds,46,3,S4
40,Pv x Sp,14,3,S4
40,Pv x Sa,23,3,S4
40,Pv x Spu,45,3,S4
40,Pa x Ds,23,3,S4
40,Pa x Sp,27,3,S4
40,Pa x Sa,19,3,S4
40,Pa x Spu,22,3,S4
41,Pa,9,0,S4
41,Pv,30,0,S4
41,Ds,53,0,S4
41,Sp,37,0,S4
41,Sa,20,0,S4
41,Spu,48,0,S4
41,Pv x Ds,47,0,S4
41,Pv x Sp,36,0,S4
41,Pv x Sa,22,0,S4
41,Pv x Spu,53,0,S4
41,Pa x Ds,12,0,S4
41,Pa x Sp,7,0,S4
41,Pa x Sa,9,0,S4
41,Pa x Spu,16,0,S4
42,Pa,10,3,S2
42,Pv,24,3,S2
42,Ds,36,3,S2
42,Sp,31,3,S2
42,Sa,26,3,S2
42,Spu,56,3,S2
42,Pv x Ds,53,3,S2
42,Pv x Sp,42,3,S2
42,Pv x Sa,33,3,S2
42,Pv x Spu,50,3,S2
42,Pa x Ds,26,3,S2
42,Pa x Sp,21,3,S2
42,Pa x Sa,33,3,S2
42,Pa x Spu,2,3,S2
43,Pa,25,0,S2
43,Pv,25,0,S2
43,Ds,59,0,S2
43,Sp,36,0,S2
43,Sa,23,0,S2
43,Spu,57,0,S2
43,Pv x Ds,54,0,S2
43,Pv x Sp,32,0,S2
43,Pv x Sa,17,0,S2
43,Pv x Spu,51,0,S2
43,Pa x Ds,1,0,S2
43,Pa x Sp,25,0,S2
43,Pa x Sa,29,0,S2
43,Pa x Spu,9,0,S2
44,Pa,7,6,S2
44,Pv,21,6,S2
44,Ds,54,6,S2
44,Sp,40,6,S2
44,Sa,61,6,S2
44,Spu,50,6,S2
44,Pv x Ds,50,6,S2
44,Pv x Sp,15,6,S2
44,Pv x Sa,16,6,S2
44,Pv x Spu,56,6,S2
44,Pa x Ds,15,6,S2
44,Pa x Sp,12,6,S2
44,Pa x Sa,35,6,S2
44,Pa x Spu,15,6,S2
45,Pa,17,3,C3
45,Pv,28,3,C3
45,Ds,49,3,C3
45,Sp,41,3,C3
45,Sa,60,3,C3
45,Spu,46,3,C3
45,Pv x Ds,49,3,C3
45,Pv x Sp,37,3,C3
45,Pv x Sa,27,3,C3
45,Pv x Spu,41,3,C3
45,Pa x Ds,24,3,C3
45,Pa x Sp,17,3,C3
45,Pa x Sa,21,3,C3
45,Pa x Spu,1,3,C3
46,Pa,23,6,C3
46,Pv,29,6,C3
46,Ds,37,6,C3
46,Sp,45,6,C3
46,Sa,59,6,C3
46,Spu,38,6,C3
46,Pv x Ds,48,6,C3
46,Pv x Sp,41,6,C3
46,Pv x Sa,41,6,C3
46,Pv x Spu,57,6,C3
46,Pa x Ds,14,6,C3
46,Pa x Sp,22,6,C3
46,Pa x Sa,32,6,C3
46,Pa x Spu,24,6,C3
47,Pa,24,0,C3
47,Pv,20,0,C3
47,Ds,47,0,C3
47,Sp,35,0,C3
47,Sa,58,0,C3
47,Spu,55,0,C3
47,Pv x Ds,52,0,C3
47,Pv x Sp,24,0,C3
47,Pv x Sa,49,0,C3
47,Pv x Spu,1,0,C3
47,Pa x Ds,21,0,C3
47,Pa x Sp,16,0,C3
47,Pa x Sa,5,0,C3
47,Pa x Spu,25,0,C3
48,Pv,42,6,C3
48,Ds,28,6,C3
48,Sp,56,6,C3
48,Sa,48,6,C3
48,Spu,41,6,C3
48,Pv x Ds,43,6,C3
48,Pv x Sp,23,6,C3
48,Pv x Sa,17,6,C3
48,Pv x Spu,37,6,C3
49,Pv,43,6,S2
49,Ds,29,6,S2
49,Sp,60,6,S2
49,Sa,50,6,S2
49,Spu,70,6,S2
49,Pv x Ds,42,6,S2
49,Pv x Sp,35,6,S2
49,Pv x Sa,6,6,S2
49,Pv x Spu,47,6,S2
50,Pv,36,3,S2
50,Ds,31,3,S2
50,Sp,47,3,S2
50,Sa,53,3,S2
50,Spu,52,3,S2
50,Pv x Ds,38,3,S2
50,Pv x Sp,30,3,S2
50,Pv x Sa,5,3,S2
50,Pv x Spu,46,3,S2
51,Pv,35,0,S2
51,Ds,34,0,S2
51,Sp,64,0,S2
51,Sa,56,0,S2
51,Spu,44,0,S2
51,Pv x Ds,35,0,S2
51,Pv x Sp,13,0,S2
51,Pv x Sa,10,0,S2
51,Pv x Spu,42,0,S2
52,Pv,31,6,S4
52,Ds,35,6,S4
52,Sp,46,6,S4
52,Sa,54,6,S4
52,Spu,39,6,S4
52,Pv x Ds,45,6,S4
52,Pv x Sp,19,6,S4
52,Pv x Sa,18,6,S4
52,Pv x Spu,36,6,S4
53,Pv,33,3,S4
53,Ds,56,3,S4
53,Sp,51,3,S4
53,Sa,21,3,S4
53,Spu,51,3,S4
53,Pv x Ds,40,3,S4
53,Pv x Sp,18,3,S4
53,Pv x Sa,42,3,S4
53,Pv x Spu,52,3,S4
54,Pv,34,0,S4
54,Ds,32,0,S4
54,Sp,59,0,S4
54,Sa,27,0,S4
54,Spu,36,0,S4
54,Pv x Ds,44,0,S4
54,Pv x Sp,31,0,S4
54,Pv x Sa,19,0,S4
54,Pv x Spu,26,0,S4
55,Pa,20,0,D4
55,Pv,19,0,D4
55,Ds,60,0,D4
55,Sp,38,0,D4
55,Sa,49,0,D4
55,Spu,49,0,D4
55,Pv x Ds,51,0,D4
55,Pv x Sp,8,0,D4
55,Pv x Sa,15,0,D4
55,Pv x Spu,55,0,D4
55,Pa x Ds,25,0,D4
55,Pa x Sp,24,0,D4
55,Pa x Sa,36,0,D4
